,nanPerc,nullPerc,mean,stdev,min,25%,50%,75%,95%,97.5%,max
437.0,0.0,42.1,1.8,3.5,0,0,1,3,6,7,77
377.0,0.0,39.3,1.8,2.1,0,0,1,3,6,7,15
658.0,0.0,75.0,1.8,4.3,0,0,0,0,12,15,56
416.0,0.0,40.8,1.8,2.4,0,0,1,3,6,8,17
660.0,0.0,72.5,1.9,4.7,0,0,0,1,12,18,41
355.0,0.0,52.1,1.9,3.6,0,0,0,2,9,13,34
469.0,0.0,42.6,2.0,2.4,0,0,1,3,7,8,19
644.0,0.0,76.5,2.0,4.9,0,0,0,0,15,18,29
602.0,0.0,49.0,2.0,2.9,0,0,1,3,8,9,21
470.0,0.0,36.6,2.1,2.5,0,0,1,3,7,8,16
601.0,0.0,47.4,2.1,2.8,0,0,1,4,8,9,20
348.0,0.0,27.9,2.1,2.3,0,0,1,3,6,8,19
12.0,0.0,52.1,2.1,3.8,0,0,0,3,10,14,30
351.0,0.0,32.5,2.2,2.8,0,0,1,3,7,10,24
366.0,0.0,35.2,2.2,2.5,0,0,2,4,7,8,14
485.0,0.0,39.0,2.2,2.7,0,0,1,4,8,9,17
336.0,0.0,29.5,2.3,2.6,0,0,2,3,8,9,22
405.0,0.0,49.4,2.3,3.6,0,0,1,3,10,13,26
401.0,0.0,36.2,2.3,2.8,0,0,1,4,8,9,18
467.0,0.0,36.3,2.3,2.8,0,0,1,4,8,10,20
496.0,0.0,38.9,2.4,3.0,0,0,1,4,8,10,19
508.0,0.0,44.1,2.4,3.3,0,0,1,4,9,11,31
480.0,0.0,40.5,2.4,3.0,0,0,1,4,8,10,23
625.0,0.0,58.9,2.5,4.1,0,0,0,4,11,14,35
510.0,0.0,34.8,2.5,3.0,0,0,2,4,8,10,21
413.0,0.0,32.4,2.5,3.1,0,0,2,4,8,11,32
484.0,0.0,34.9,2.5,2.7,0,0,2,4,8,9,18
479.0,0.0,35.1,2.6,2.7,0,0,2,4,8,9,15
335.0,0.0,31.0,2.6,3.2,0,0,1,4,9,11,25
477.0,0.0,36.1,2.6,3.1,0,0,2,4,9,10,28
476.0,0.0,33.7,2.6,2.9,0,0,2,4,8,10,18
179.0,0.0,29.1,2.6,3.4,0,0,1,3,9,13,25
500.0,0.0,35.4,2.6,3.1,0,0,2,4,9,10,19
136.0,0.0,20.3,2.7,2.5,0,1,2,4,7,9,26
654.0,0.0,75.0,2.7,5.9,0,0,0,0,17,21,36
381.0,0.0,37.8,2.8,3.7,0,0,1,4,11,13,27
487.0,0.0,40.0,2.8,3.9,0,0,1,4,10,13,39
